Project Key,Issue Type,Summary,Description,Priority,Story Points,Labels,Components,Sprint,Epic Name,Parent,Assignee Role,Team,Environment
SCR,Story,BL-003 Initialize Unity Catalog dev and prod,"Create dev and prod catalogs with baseline permissions and discoverability.",Highest,8,"must,unity-catalog,phase-2",Platform,SCR Sprint 2 - Core Ingestion MVP,,E1 Inner Loop and Platform Foundation,PE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-004 Build reproducible devcontainer for core tooling,"Provide pinned tooling for dbt, cli, and reproducible startup.",High,5,"must,devcontainer,phase-1",Platform,SCR Sprint 1 - Platform Foundations,,E1 Inner Loop and Platform Foundation,PE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-005 Define source landing conventions,"Create naming and folder conventions for traceable ingestion.",High,3,"must,ingestion,phase-1",Ingestion,SCR Sprint 1 - Platform Foundations,,E2 Bronze Ingestion and Source Integration,DE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-006 Implement IoT heartbeat file emitter,"Generate incremental heartbeat files from simulation script.",Highest,5,"must,iot,phase-2",Ingestion,SCR Sprint 2 - Core Ingestion MVP,,E2 Bronze Ingestion and Source Integration,DE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-007 Configure Databricks Autoloader for IoT files,"Detect and ingest new files incrementally with checkpointing.",Highest,8,"must,autoloader,phase-2",Ingestion,SCR Sprint 2 - Core Ingestion MVP,,E2 Bronze Ingestion and Source Integration,DE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-008 Run Postgres in Docker for source simulation,"Simulate transactional source for supplier and route entities.",Medium,5,"should,postgres,phase-3",Ingestion,SCR Sprint 3 - Source Heterogeneity Extension,,E2 Bronze Ingestion and Source Integration,DE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-009 Configure Airbyte Postgres to Bronze sync,"Implement initial and incremental connector sync to Databricks Bronze.",Medium,8,"should,airbyte,phase-3",Ingestion,SCR Sprint 3 - Source Heterogeneity Extension,,E2 Bronze Ingestion and Source Integration,DE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-010 Add Bronze quality and quarantine checks,"Reject malformed records and log quarantined data.",Highest,8,"must,data-quality,phase-2",Quality,SCR Sprint 2 - Core Ingestion MVP,,E2 Bronze Ingestion and Source Integration,AE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-011 Create German text normalization macros,"Implement deterministic umlaut and encoding normalization in Silver.",Highest,8,"must,german-data,phase-3",Transformation,SCR Sprint 3 - Source Heterogeneity Extension,,E3 Silver Normalization German Constraints,AE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-012 Implement AGS code harmonization,"Map AGS codes to canonical geography dimensions.",Highest,8,"must,ags,phase-3",Transformation,SCR Sprint 3 - Source Heterogeneity Extension,,E3 Silver Normalization German Constraints,AE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-013 Implement incremental lookback for late arrivals,"Backfill only impacted partitions with reproducible incremental behavior.",Highest,8,"must,incremental,phase-4",Transformation,SCR Sprint 4 - Silver Hardening,,E3 Silver Normalization German Constraints,AE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-014 Normalize domain abbreviations and currency formats,"Standardize LKW and Mio EUR representations for business consistency.",High,5,"should,normalization,phase-4",Transformation,SCR Sprint 4 - Silver Hardening,,E3 Silver Normalization German Constraints,AE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-015 Build supplier reliability SCD Type 2 snapshots,"Create historized supplier snapshots for trend and audit analysis.",Highest,8,"must,scd2,phase-4",Analytics,SCR Sprint 4 - Silver Hardening,,E4 Gold Analytics and SCD Type 2,AE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-016 Implement point in time joins in Gold,"Ensure historical supplier state is used at event time.",Highest,8,"must,gold,phase-5",Analytics,SCR Sprint 5 - Gold Analytics and SLA Logic,,E4 Gold Analytics and SCD Type 2,AE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-017 Implement cold chain rolling breach logic,"Flag sustained out of range temperatures over threshold windows.",Highest,8,"must,sla,cold-chain,phase-5",Analytics,SCR Sprint 5 - Gold Analytics and SLA Logic,,E4 Gold Analytics and SCD Type 2,AE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-018 Build timezone safe lead time metrics,"Compute accurate lead time across cross-border timezone conditions.",High,5,"must,lead-time,phase-4",Analytics,SCR Sprint 4 - Silver Hardening,,E4 Gold Analytics and SCD Type 2,AE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-019 Build dbt Python delay prediction model,"Train and score delay risk model on Databricks runtime.",Highest,8,"must,ml,phase-6",ML,SCR Sprint 6 - Predictive Intelligence,,E5 Predictive Intelligence,MLE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-020 Implement model feature engineering pipeline,"Create reproducible features for route and telemetry predictors.",High,5,"must,feature-engineering,phase-6",ML,SCR Sprint 6 - Predictive Intelligence,,E5 Predictive Intelligence,MLE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-021 Add K means route segmentation,"Segment route network into operational risk zones.",Medium,5,"should,clustering,phase-6",ML,SCR Sprint 6 - Predictive Intelligence,,E5 Predictive Intelligence,MLE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-022 Add model drift threshold monitoring,"Trigger alerts when model utility falls below threshold.",Medium,8,"should,drift-monitoring,phase-6",Quality,SCR Sprint 6 - Predictive Intelligence,,E5 Predictive Intelligence,DQE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-023 Implement Great Expectations critical suites,"Validate schema and business rule quality gates.",Highest,8,"must,great-expectations,phase-5",Quality,SCR Sprint 5 - Gold Analytics and SLA Logic,,E6 Quality Observability and CI CD,DQE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-024 Implement freshness and lineage observability,"Capture and route freshness and lineage incidents.",Highest,8,"must,observability,phase-5",Quality,SCR Sprint 5 - Gold Analytics and SLA Logic,,E6 Quality Observability and CI CD,PE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-025 Implement Slim CI for PR validation,"Block merges when dbt tests fail and publish evidence.",Highest,8,"must,cicd,phase-7",Platform,SCR Sprint 7 - Orchestration and Decision Experience,,E6 Quality Observability and CI CD,PE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-026 Implement Airflow DAG orchestration,"Add scheduled orchestration with retries and dependency control.",Medium,8,"should,airflow,phase-7",Orchestration,SCR Sprint 7 - Orchestration and Decision Experience,,E6 Quality Observability and CI CD,DE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-027 Build live risk map application,"Expose active shipment risk to dispatch in a live operations view.",Highest,8,"must,streamlit,phase-7",BI,SCR Sprint 7 - Orchestration and Decision Experience,,E7 BI and Decision Experience,BIA,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-028 Build supplier resilience scorecards,"Publish monthly supplier reliability trends for procurement review.",Highest,8,"must,metabase,phase-7",BI,SCR Sprint 7 - Orchestration and Decision Experience,,E7 BI and Decision Experience,BIA,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-029 Build SLA breach incident dashboard,"Expose timeline and status of incidents for governance reporting.",High,5,"should,sla-dashboard,phase-7",BI,SCR Sprint 7 - Orchestration and Decision Experience,,E7 BI and Decision Experience,BIA,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-030 Keep phase reports and command logs up to date,"Ensure every sprint closes with evidence and reproducible documentation.",Highest,8,"must,documentation,all-sprints",Documentation,SCR Sprint 8 - Portfolio Hardening and Defense Readiness,,E8 Thesis Packaging and Defense Assets,PTO,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-031 Align defense assets to implementation evidence,"Cross-link architecture brief spec runbook and outputs for defense.",Highest,8,"must,thesis-defense,phase-8",Documentation,SCR Sprint 8 - Portfolio Hardening and Defense Readiness,,E8 Thesis Packaging and Defense Assets,PTO,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-032 Prepare and validate end to end demo scripts,"Create timed demo narrative for viva and interviews.",High,8,"should,demo,phase-8",Documentation,SCR Sprint 8 - Portfolio Hardening and Defense Readiness,,E8 Thesis Packaging and Defense Assets,PTO,Supply-Chain-Resilience,"Codespace->Databricks"
