Issue Type,Summary,Description,Epic Name,Parent,Priority,Story Points,Labels,Components,Sprint,Assignee Role
Story,BL-010 Add Bronze quality and quarantine checks,"Reject malformed records and log quarantined data.",,E2 Bronze Ingestion and Source Integration,Highest,8,"must,data-quality,phase-2",Quality,SCR Sprint 2 - Core Ingestion MVP,AE
Story,BL-011 Create German text normalization macros,"Implement deterministic umlaut and encoding normalization in Silver.",,E3 Silver Normalization German Constraints,Highest,8,"must,german-data,phase-3",Transformation,SCR Sprint 3 - Source Heterogeneity Extension,AE
Story,BL-012 Implement AGS code harmonization,"Map AGS codes to canonical geography dimensions.",,E3 Silver Normalization German Constraints,Highest,8,"must,ags,phase-3",Transformation,SCR Sprint 3 - Source Heterogeneity Extension,AE
Story,BL-013 Implement incremental lookback for late arrivals,"Backfill only impacted partitions with reproducible incremental behavior.",,E3 Silver Normalization German Constraints,Highest,8,"must,incremental,phase-4",Transformation,SCR Sprint 4 - Silver Hardening,AE
Story,BL-014 Normalize domain abbreviations and currency formats,"Standardize LKW and Mio EUR representations for business consistency.",,E3 Silver Normalization German Constraints,High,5,"should,normalization,phase-4",Transformation,SCR Sprint 4 - Silver Hardening,AE
Story,BL-015 Build supplier reliability SCD Type 2 snapshots,"Create historized supplier snapshots for trend and audit analysis.",,E4 Gold Analytics and SCD Type 2,Highest,8,"must,scd2,phase-4",Analytics,SCR Sprint 4 - Silver Hardening,AE
Story,BL-016 Implement point in time joins in Gold,"Ensure historical supplier state is used at event time.",,E4 Gold Analytics and SCD Type 2,Highest,8,"must,gold,phase-5",Analytics,SCR Sprint 5 - Gold Analytics and SLA Logic,AE
Story,BL-017 Implement cold chain rolling breach logic,"Flag sustained out of range temperatures over threshold windows.",,E4 Gold Analytics and SCD Type 2,Highest,8,"must,sla,cold-chain,phase-5",Analytics,SCR Sprint 5 - Gold Analytics and SLA Logic,AE
Story,BL-018 Build timezone safe lead time metrics,"Compute accurate lead time across cross-border timezone conditions.",,E4 Gold Analytics and SCD Type 2,High,5,"must,lead-time,phase-4",Analytics,SCR Sprint 4 - Silver Hardening,AE
Story,BL-019 Build dbt Python delay prediction model,"Train and score delay risk model on Databricks runtime.",,E5 Predictive Intelligence,Highest,8,"must,ml,phase-6",ML,SCR Sprint 6 - Predictive Intelligence,MLE
Story,BL-020 Implement model feature engineering pipeline,"Create reproducible features for route and telemetry predictors.",,E5 Predictive Intelligence,High,5,"must,feature-engineering,phase-6",ML,SCR Sprint 6 - Predictive Intelligence,MLE
Story,BL-021 Add K means route segmentation,"Segment route network into operational risk zones.",,E5 Predictive Intelligence,Medium,5,"should,clustering,phase-6",ML,SCR Sprint 6 - Predictive Intelligence,MLE
Story,BL-022 Add model drift threshold monitoring,"Trigger alerts when model utility falls below threshold.",,E5 Predictive Intelligence,Medium,8,"should,drift-monitoring,phase-6",Quality,SCR Sprint 6 - Predictive Intelligence,DQE
Story,BL-023 Implement Great Expectations critical suites,"Validate schema and business rule quality gates.",,E6 Quality Observability and CI CD,Highest,8,"must,great-expectations,phase-5",Quality,SCR Sprint 5 - Gold Analytics and SLA Logic,DQE
Story,BL-024 Implement freshness and lineage observability,"Capture and route freshness and lineage incidents.",,E6 Quality Observability and CI CD,Highest,8,"must,observability,phase-5",Quality,SCR Sprint 5 - Gold Analytics and SLA Logic,PE
Story,BL-025 Implement Slim CI for PR validation,"Block merges when dbt tests fail and publish evidence.",,E6 Quality Observability and CI CD,Highest,8,"must,cicd,phase-7",Platform,SCR Sprint 7 - Orchestration and Decision Experience,PE
Story,BL-026 Implement Airflow DAG orchestration,"Add scheduled orchestration with retries and dependency control.",,E6 Quality Observability and CI CD,Medium,8,"should,airflow,phase-7",Orchestration,SCR Sprint 7 - Orchestration and Decision Experience,DE
Story,BL-027 Build live risk map application,"Expose active shipment risk to dispatch in a live operations view.",,E7 BI and Decision Experience,Highest,8,"must,streamlit,phase-7",BI,SCR Sprint 7 - Orchestration and Decision Experience,BIA
Story,BL-028 Build supplier resilience scorecards,"Publish monthly supplier reliability trends for procurement review.",,E7 BI and Decision Experience,Highest,8,"must,metabase,phase-7",BI,SCR Sprint 7 - Orchestration and Decision Experience,BIA
Story,BL-029 Build SLA breach incident dashboard,"Expose timeline and status of incidents for governance reporting.",,E7 BI and Decision Experience,High,5,"should,sla-dashboard,phase-7",BI,SCR Sprint 7 - Orchestration and Decision Experience,BIA
Story,BL-030 Keep phase reports and command logs up to date,"Ensure every sprint closes with evidence and reproducible documentation.",,E8 Thesis Packaging and Defense Assets,Highest,8,"must,documentation,all-sprints",Documentation,SCR Sprint 8 - Portfolio Hardening and Defense Readiness,PTO
Story,BL-031 Align defense assets to implementation evidence,"Cross-link architecture brief spec runbook and outputs for defense.",,E8 Thesis Packaging and Defense Assets,Highest,8,"must,thesis-defense,phase-8",Documentation,SCR Sprint 8 - Portfolio Hardening and Defense Readiness,PTO
Story,BL-032 Prepare and validate end to end demo scripts,"Create timed demo narrative for viva and interviews.",,E8 Thesis Packaging and Defense Assets,High,8,"should,demo,phase-8",Documentation,SCR Sprint 8 - Portfolio Hardening and Defense Readiness,PTO
